,campus,building,room,time,associated,authenticated
8300,Belfield,Computer Science,B004,Mon Nov 02 22:00:00,0,0
8316,Belfield,Computer Science,B004,Mon Nov 02 23:00:00,0,0
8327,Belfield,Computer Science,B004,Tue Nov 03 00:00:00,0,0
8339,Belfield,Computer Science,B004,Tue Nov 03 01:00:00,0,0
8351,Belfield,Computer Science,B004,Tue Nov 03 02:00:00,0,0
8375,Belfield,Computer Science,B004,Tue Nov 03 04:00:00,0,0
8387,Belfield,Computer Science,B004,Tue Nov 03 05:00:00,0,0
8399,Belfield,Computer Science,B004,Tue Nov 03 06:00:00,0,0
8410,Belfield,Computer Science,B004,Tue Nov 03 07:00:00,0,0
8422,Belfield,Computer Science,B004,Tue Nov 03 08:00:00,0,0
8434,Belfield,Computer Science,B004,Tue Nov 03 09:00:00,119,119
8445,Belfield,Computer Science,B004,Tue Nov 03 10:00:00,97,97
8457,Belfield,Computer Science,B004,Tue Nov 03 11:00:00,60,58
8468,Belfield,Computer Science,B004,Tue Nov 03 12:00:00,105,105
8480,Belfield,Computer Science,B004,Tue Nov 03 13:00:00,52,52
8491,Belfield,Computer Science,B004,Tue Nov 03 14:00:00,65,65
8503,Belfield,Computer Science,B004,Tue Nov 03 15:00:00,55,55
8514,Belfield,Computer Science,B004,Tue Nov 03 16:00:00,7,7
8526,Belfield,Computer Science,B004,Tue Nov 03 17:00:00,0,0
8538,Belfield,Computer Science,B004,Tue Nov 03 18:00:00,0,0
8550,Belfield,Computer Science,B004,Tue Nov 03 19:00:00,0,0
8562,Belfield,Computer Science,B004,Tue Nov 03 20:00:00,0,0
8574,Belfield,Computer Science,B004,Tue Nov 03 21:00:00,0,0
8586,Belfield,Computer Science,B004,Tue Nov 03 22:00:00,0,0
8598,Belfield,Computer Science,B004,Tue Nov 03 23:00:00,0,0
8609,Belfield,Computer Science,B004,Wed Nov 04 00:00:00,0,0
8621,Belfield,Computer Science,B004,Wed Nov 04 01:00:00,0,0
8633,Belfield,Computer Science,B004,Wed Nov 04 02:00:00,0,0
8645,Belfield,Computer Science,B004,Wed Nov 04 03:00:00,0,0
8657,Belfield,Computer Science,B004,Wed Nov 04 04:00:00,0,0
8669,Belfield,Computer Science,B004,Wed Nov 04 05:00:00,0,0
8693,Belfield,Computer Science,B004,Wed Nov 04 07:00:00,0,0
8704,Belfield,Computer Science,B004,Wed Nov 04 08:00:00,2,2
8716,Belfield,Computer Science,B004,Wed Nov 04 09:00:00,31,31
8727,Belfield,Computer Science,B004,Wed Nov 04 10:00:00,3,3
8738,Belfield,Computer Science,B004,Wed Nov 04 11:00:00,63,63
8750,Belfield,Computer Science,B004,Wed Nov 04 12:00:00,76,76
8761,Belfield,Computer Science,B004,Wed Nov 04 13:00:00,17,17
8773,Belfield,Computer Science,B004,Wed Nov 04 14:00:00,11,11
8784,Belfield,Computer Science,B004,Wed Nov 04 15:00:00,1,1
8796,Belfield,Computer Science,B004,Wed Nov 04 16:00:00,0,0
8807,Belfield,Computer Science,B004,Wed Nov 04 17:00:00,0,0
8819,Belfield,Computer Science,B004,Wed Nov 04 18:00:00,0,0
8831,Belfield,Computer Science,B004,Wed Nov 04 19:00:00,0,0
8843,Belfield,Computer Science,B004,Wed Nov 04 20:00:00,0,0
8855,Belfield,Computer Science,B004,Wed Nov 04 21:00:00,0,0
8866,Belfield,Computer Science,B004,Wed Nov 04 22:00:00,0,0
8878,Belfield,Computer Science,B004,Wed Nov 04 23:00:00,0,0
8890,Belfield,Computer Science,B004,Thu Nov 05 00:00:00,0,0
8901,Belfield,Computer Science,B004,Thu Nov 05 01:00:00,0,0
8913,Belfield,Computer Science,B004,Thu Nov 05 02:00:00,0,0
8925,Belfield,Computer Science,B004,Thu Nov 05 03:00:00,0,0
8937,Belfield,Computer Science,B004,Thu Nov 05 04:00:00,0,0
8949,Belfield,Computer Science,B004,Thu Nov 05 05:00:00,0,0
8961,Belfield,Computer Science,B004,Thu Nov 05 06:00:00,0,0
8973,Belfield,Computer Science,B004,Thu Nov 05 07:00:00,0,0
8984,Belfield,Computer Science,B004,Thu Nov 05 08:00:00,0,0
8996,Belfield,Computer Science,B004,Thu Nov 05 09:00:00,224,222
9007,Belfield,Computer Science,B004,Thu Nov 05 10:00:00,37,37
9019,Belfield,Computer Science,B004,Thu Nov 05 11:00:00,64,63
9029,Belfield,Computer Science,B004,Thu Nov 05 12:00:00,50,50
9041,Belfield,Computer Science,B004,Thu Nov 05 13:00:00,99,98
9052,Belfield,Computer Science,B004,Thu Nov 05 14:00:00,72,72
9064,Belfield,Computer Science,B004,Thu Nov 05 15:00:00,0,0
9076,Belfield,Computer Science,B004,Thu Nov 05 16:00:00,0,0
9088,Belfield,Computer Science,B004,Thu Nov 05 17:00:00,0,0
9100,Belfield,Computer Science,B004,Thu Nov 05 18:00:00,0,0
9112,Belfield,Computer Science,B004,Thu Nov 05 19:00:00,0,0
9124,Belfield,Computer Science,B004,Thu Nov 05 20:00:00,0,0
9136,Belfield,Computer Science,B004,Thu Nov 05 21:00:00,0,0
9148,Belfield,Computer Science,B004,Thu Nov 05 22:00:00,0,0
9160,Belfield,Computer Science,B004,Thu Nov 05 23:00:00,0,0
9172,Belfield,Computer Science,B004,Fri Nov 06 00:00:00,0,0
9183,Belfield,Computer Science,B004,Fri Nov 06 01:00:00,0,0
9195,Belfield,Computer Science,B004,Fri Nov 06 02:00:00,0,0
9196,Belfield,Computer Science,B004,Fri Nov 06 02:00:00,0,0
9207,Belfield,Computer Science,B004,Fri Nov 06 03:00:00,0,0
9219,Belfield,Computer Science,B004,Fri Nov 06 04:00:00,0,0
9231,Belfield,Computer Science,B004,Fri Nov 06 05:00:00,0,0
9243,Belfield,Computer Science,B004,Fri Nov 06 06:00:00,0,0
9255,Belfield,Computer Science,B004,Fri Nov 06 07:00:00,0,0
9267,Belfield,Computer Science,B004,Fri Nov 06 08:00:00,0,0
9279,Belfield,Computer Science,B004,Fri Nov 06 09:00:00,7,7
9291,Belfield,Computer Science,B004,Fri Nov 06 10:00:00,66,66
9303,Belfield,Computer Science,B004,Fri Nov 06 11:00:00,33,32
9314,Belfield,Computer Science,B004,Fri Nov 06 12:00:00,4,4
9326,Belfield,Computer Science,B004,Fri Nov 06 13:00:00,46,46
9337,Belfield,Computer Science,B004,Fri Nov 06 14:00:00,128,128
9349,Belfield,Computer Science,B004,Fri Nov 06 15:00:00,17,17
9361,Belfield,Computer Science,B004,Fri Nov 06 16:00:00,2,2
9373,Belfield,Computer Science,B004,Fri Nov 06 17:00:00,0,0
9385,Belfield,Computer Science,B004,Fri Nov 06 18:00:00,0,0
9397,Belfield,Computer Science,B004,Fri Nov 06 19:00:00,0,0
9409,Belfield,Computer Science,B004,Fri Nov 06 20:00:00,0,0
9421,Belfield,Computer Science,B004,Fri Nov 06 21:00:00,0,0
9433,Belfield,Computer Science,B004,Fri Nov 06 22:00:00,0,0
9445,Belfield,Computer Science,B004,Fri Nov 06 23:00:00,0,0
9457,Belfield,Computer Science,B004,Sat Nov 07 00:00:00,0,0
9468,Belfield,Computer Science,B004,Sat Nov 07 01:00:00,0,0
9480,Belfield,Computer Science,B004,Sat Nov 07 02:00:00,0,0
9492,Belfield,Computer Science,B004,Sat Nov 07 03:00:00,0,0
9504,Belfield,Computer Science,B004,Sat Nov 07 04:00:00,0,0
9516,Belfield,Computer Science,B004,Sat Nov 07 05:00:00,0,0
9528,Belfield,Computer Science,B004,Sat Nov 07 06:00:00,0,0
9540,Belfield,Computer Science,B004,Sat Nov 07 07:00:00,0,0
9552,Belfield,Computer Science,B004,Sat Nov 07 08:00:00,0,0
9563,Belfield,Computer Science,B004,Sat Nov 07 09:00:00,0,0
9575,Belfield,Computer Science,B004,Sat Nov 07 10:00:00,0,0
9587,Belfield,Computer Science,B004,Sat Nov 07 11:00:00,0,0
9599,Belfield,Computer Science,B004,Sat Nov 07 12:00:00,0,0
9611,Belfield,Computer Science,B004,Sat Nov 07 13:00:00,0,0
9622,Belfield,Computer Science,B004,Sat Nov 07 14:00:00,0,0
9623,Belfield,Computer Science,B004,Sat Nov 07 14:00:00,0,0
9634,Belfield,Computer Science,B004,Sat Nov 07 15:00:00,0,0
9646,Belfield,Computer Science,B004,Sat Nov 07 16:00:00,0,0
9658,Belfield,Computer Science,B004,Sat Nov 07 17:00:00,0,0
9670,Belfield,Computer Science,B004,Sat Nov 07 18:00:00,0,0
9682,Belfield,Computer Science,B004,Sat Nov 07 19:00:00,0,0
9694,Belfield,Computer Science,B004,Sat Nov 07 20:00:00,0,0
9706,Belfield,Computer Science,B004,Sat Nov 07 21:00:00,0,0
9718,Belfield,Computer Science,B004,Sat Nov 07 22:00:00,0,0
9730,Belfield,Computer Science,B004,Sat Nov 07 23:00:00,0,0
9742,Belfield,Computer Science,B004,Sun Nov 08 00:00:00,0,0
9754,Belfield,Computer Science,B004,Sun Nov 08 01:00:00,0,0
9766,Belfield,Computer Science,B004,Sun Nov 08 02:00:00,0,0
9778,Belfield,Computer Science,B004,Sun Nov 08 03:00:00,0,0
9789,Belfield,Computer Science,B004,Sun Nov 08 04:00:00,0,0
9801,Belfield,Computer Science,B004,Sun Nov 08 05:00:00,0,0
9813,Belfield,Computer Science,B004,Sun Nov 08 06:00:00,0,0
9825,Belfield,Computer Science,B004,Sun Nov 08 07:00:00,0,0
9837,Belfield,Computer Science,B004,Sun Nov 08 08:00:00,0,0
9849,Belfield,Computer Science,B004,Sun Nov 08 09:00:00,0,0
9861,Belfield,Computer Science,B004,Sun Nov 08 10:00:00,0,0
9873,Belfield,Computer Science,B004,Sun Nov 08 11:00:00,0,0
9885,Belfield,Computer Science,B004,Sun Nov 08 12:00:00,0,0
9897,Belfield,Computer Science,B004,Sun Nov 08 13:00:00,0,0
9908,Belfield,Computer Science,B004,Sun Nov 08 14:00:00,0,0
9909,Belfield,Computer Science,B004,Sun Nov 08 14:00:00,0,0
9921,Belfield,Computer Science,B004,Sun Nov 08 15:00:00,0,0
9944,Belfield,Computer Science,B004,Sun Nov 08 17:00:00,0,0
9956,Belfield,Computer Science,B004,Sun Nov 08 18:00:00,0,0
9968,Belfield,Computer Science,B004,Sun Nov 08 19:00:00,0,0
9980,Belfield,Computer Science,B004,Sun Nov 08 20:00:00,0,0
9992,Belfield,Computer Science,B004,Sun Nov 08 21:00:00,0,0
10004,Belfield,Computer Science,B004,Sun Nov 08 22:00:00,0,0
10015,Belfield,Computer Science,B004,Sun Nov 08 23:00:00,0,0
10026,Belfield,Computer Science,B004,Mon Nov 09 00:00:00,0,0
10038,Belfield,Computer Science,B004,Mon Nov 09 01:00:00,0,0
10050,Belfield,Computer Science,B004,Mon Nov 09 02:00:00,0,0
10062,Belfield,Computer Science,B004,Mon Nov 09 03:00:00,0,0
10074,Belfield,Computer Science,B004,Mon Nov 09 04:00:00,0,0
10086,Belfield,Computer Science,B004,Mon Nov 09 05:00:00,0,0
10098,Belfield,Computer Science,B004,Mon Nov 09 06:00:00,0,0
10110,Belfield,Computer Science,B004,Mon Nov 09 07:00:00,0,0
10122,Belfield,Computer Science,B004,Mon Nov 09 08:00:00,0,0
10133,Belfield,Computer Science,B004,Mon Nov 09 09:00:00,23,23
10145,Belfield,Computer Science,B004,Mon Nov 09 10:00:00,30,30
10156,Belfield,Computer Science,B004,Mon Nov 09 11:00:00,36,36
10168,Belfield,Computer Science,B004,Mon Nov 09 12:00:00,65,64
10179,Belfield,Computer Science,B004,Mon Nov 09 13:00:00,2,2
10191,Belfield,Computer Science,B004,Mon Nov 09 14:00:00,42,42
10203,Belfield,Computer Science,B004,Mon Nov 09 15:00:00,74,74
10215,Belfield,Computer Science,B004,Mon Nov 09 16:00:00,8,8
10227,Belfield,Computer Science,B004,Mon Nov 09 17:00:00,6,5
10239,Belfield,Computer Science,B004,Mon Nov 09 18:00:00,0,0
10251,Belfield,Computer Science,B004,Mon Nov 09 19:00:00,0,0
10262,Belfield,Computer Science,B004,Mon Nov 09 20:00:00,0,0
10274,Belfield,Computer Science,B004,Mon Nov 09 21:00:00,0,0
10286,Belfield,Computer Science,B004,Mon Nov 09 22:00:00,0,0
10298,Belfield,Computer Science,B004,Mon Nov 09 23:00:00,0,0
10310,Belfield,Computer Science,B004,Tue Nov 10 00:00:00,0,0
10321,Belfield,Computer Science,B004,Tue Nov 10 01:00:00,0,0
10333,Belfield,Computer Science,B004,Tue Nov 10 02:00:00,0,0
10344,Belfield,Computer Science,B004,Tue Nov 10 03:00:00,0,0
10356,Belfield,Computer Science,B004,Tue Nov 10 04:00:00,0,0
10368,Belfield,Computer Science,B004,Tue Nov 10 05:00:00,0,0
10380,Belfield,Computer Science,B004,Tue Nov 10 06:00:00,0,0
10392,Belfield,Computer Science,B004,Tue Nov 10 07:00:00,0,0
10404,Belfield,Computer Science,B004,Tue Nov 10 08:00:00,0,0
10415,Belfield,Computer Science,B004,Tue Nov 10 09:00:00,64,64
10427,Belfield,Computer Science,B004,Tue Nov 10 10:00:00,116,115
10439,Belfield,Computer Science,B004,Tue Nov 10 11:00:00,62,61
10450,Belfield,Computer Science,B004,Tue Nov 10 12:00:00,88,88
10461,Belfield,Computer Science,B004,Tue Nov 10 13:00:00,61,61
10473,Belfield,Computer Science,B004,Tue Nov 10 14:00:00,69,68
10484,Belfield,Computer Science,B004,Tue Nov 10 15:00:00,61,61
10496,Belfield,Computer Science,B004,Tue Nov 10 16:00:00,7,7
10508,Belfield,Computer Science,B004,Tue Nov 10 17:00:00,0,0
10520,Belfield,Computer Science,B004,Tue Nov 10 18:00:00,0,0
10531,Belfield,Computer Science,B004,Tue Nov 10 19:00:00,0,0
10543,Belfield,Computer Science,B004,Tue Nov 10 20:00:00,0,0
10555,Belfield,Computer Science,B004,Tue Nov 10 21:00:00,0,0
10567,Belfield,Computer Science,B004,Tue Nov 10 22:00:00,0,0
10579,Belfield,Computer Science,B004,Tue Nov 10 23:00:00,0,0
10591,Belfield,Computer Science,B004,Wed Nov 11 00:00:00,0,0
10603,Belfield,Computer Science,B004,Wed Nov 11 01:00:00,0,0
10615,Belfield,Computer Science,B004,Wed Nov 11 02:00:00,0,0
10627,Belfield,Computer Science,B004,Wed Nov 11 03:00:00,0,0
10639,Belfield,Computer Science,B004,Wed Nov 11 04:00:00,0,0
10651,Belfield,Computer Science,B004,Wed Nov 11 05:00:00,0,0
10663,Belfield,Computer Science,B004,Wed Nov 11 06:00:00,0,0
10675,Belfield,Computer Science,B004,Wed Nov 11 07:00:00,0,0
10698,Belfield,Computer Science,B004,Wed Nov 11 09:00:00,22,22
10710,Belfield,Computer Science,B004,Wed Nov 11 10:00:00,0,0
10721,Belfield,Computer Science,B004,Wed Nov 11 11:00:00,46,46
10733,Belfield,Computer Science,B004,Wed Nov 11 12:00:00,71,71
10743,Belfield,Computer Science,B004,Wed Nov 11 13:00:00,8,8
10755,Belfield,Computer Science,B004,Wed Nov 11 14:00:00,11,11
10767,Belfield,Computer Science,B004,Wed Nov 11 15:00:00,38,38
10779,Belfield,Computer Science,B004,Wed Nov 11 16:00:00,2,2
10790,Belfield,Computer Science,B004,Wed Nov 11 17:00:00,2,2
10791,Belfield,Computer Science,B004,Wed Nov 11 17:00:00,2,2
10802,Belfield,Computer Science,B004,Wed Nov 11 18:00:00,0,0
10814,Belfield,Computer Science,B004,Wed Nov 11 19:00:00,0,0
10826,Belfield,Computer Science,B004,Wed Nov 11 20:00:00,0,0
10838,Belfield,Computer Science,B004,Wed Nov 11 21:00:00,0,0
10850,Belfield,Computer Science,B004,Wed Nov 11 22:00:00,0,0
10861,Belfield,Computer Science,B004,Wed Nov 11 23:00:00,0,0
10883,Belfield,Computer Science,B004,Thu Nov 12 01:00:00,0,0
10895,Belfield,Computer Science,B004,Thu Nov 12 02:00:00,0,0
10907,Belfield,Computer Science,B004,Thu Nov 12 03:00:00,0,0
10919,Belfield,Computer Science,B004,Thu Nov 12 04:00:00,0,0
10931,Belfield,Computer Science,B004,Thu Nov 12 05:00:00,0,0
10943,Belfield,Computer Science,B004,Thu Nov 12 06:00:00,0,0
10955,Belfield,Computer Science,B004,Thu Nov 12 07:00:00,0,0
10966,Belfield,Computer Science,B004,Thu Nov 12 08:00:00,1,1
10978,Belfield,Computer Science,B004,Thu Nov 12 09:00:00,84,84
10989,Belfield,Computer Science,B004,Thu Nov 12 10:00:00,37,37
11001,Belfield,Computer Science,B004,Thu Nov 12 11:00:00,63,63
11012,Belfield,Computer Science,B004,Thu Nov 12 12:00:00,55,55
11024,Belfield,Computer Science,B004,Thu Nov 12 13:00:00,88,88
11036,Belfield,Computer Science,B004,Thu Nov 12 14:00:00,53,53
11048,Belfield,Computer Science,B004,Thu Nov 12 15:00:00,0,0
11060,Belfield,Computer Science,B004,Thu Nov 12 16:00:00,57,57
11071,Belfield,Computer Science,B004,Thu Nov 12 17:00:00,3,3
11072,Belfield,Computer Science,B004,Thu Nov 12 17:00:00,3,3
11083,Belfield,Computer Science,B004,Thu Nov 12 18:00:00,0,0
11095,Belfield,Computer Science,B004,Thu Nov 12 19:00:00,0,0
11107,Belfield,Computer Science,B004,Thu Nov 12 20:00:00,0,0
11119,Belfield,Computer Science,B004,Thu Nov 12 21:00:00,0,0
11131,Belfield,Computer Science,B004,Thu Nov 12 22:00:00,0,0
11142,Belfield,Computer Science,B004,Thu Nov 12 23:00:00,0,0
11153,Belfield,Computer Science,B004,Fri Nov 13 00:00:00,0,0
11165,Belfield,Computer Science,B004,Fri Nov 13 01:00:00,0,0
11177,Belfield,Computer Science,B004,Fri Nov 13 02:00:00,0,0
11189,Belfield,Computer Science,B004,Fri Nov 13 03:00:00,0,0
11201,Belfield,Computer Science,B004,Fri Nov 13 04:00:00,0,0
11213,Belfield,Computer Science,B004,Fri Nov 13 05:00:00,0,0
11224,Belfield,Computer Science,B004,Fri Nov 13 06:00:00,0,0
11236,Belfield,Computer Science,B004,Fri Nov 13 07:00:00,0,0
11248,Belfield,Computer Science,B004,Fri Nov 13 08:00:00,0,0
11260,Belfield,Computer Science,B004,Fri Nov 13 09:00:00,4,4
11272,Belfield,Computer Science,B004,Fri Nov 13 10:00:00,56,56
11282,Belfield,Computer Science,B004,Fri Nov 13 11:00:00,27,27
11294,Belfield,Computer Science,B004,Fri Nov 13 12:00:00,1,1
11306,Belfield,Computer Science,B004,Fri Nov 13 13:00:00,44,44
11318,Belfield,Computer Science,B004,Fri Nov 13 14:00:00,115,115
11330,Belfield,Computer Science,B004,Fri Nov 13 15:00:00,4,4
11342,Belfield,Computer Science,B004,Fri Nov 13 16:00:00,1,1
11354,Belfield,Computer Science,B004,Fri Nov 13 17:00:00,0,0
11366,Belfield,Computer Science,B004,Fri Nov 13 18:00:00,0,0
11378,Belfield,Computer Science,B004,Fri Nov 13 19:00:00,0,0
11401,Belfield,Computer Science,B004,Fri Nov 13 21:00:00,0,0
11413,Belfield,Computer Science,B004,Fri Nov 13 22:00:00,0,0
11425,Belfield,Computer Science,B004,Fri Nov 13 23:00:00,0,0
11437,Belfield,Computer Science,B004,Sat Nov 14 00:00:00,0,0
11448,Belfield,Computer Science,B004,Sat Nov 14 01:00:00,0,0
11460,Belfield,Computer Science,B004,Sat Nov 14 02:00:00,0,0
11471,Belfield,Computer Science,B004,Sat Nov 14 03:00:00,0,0
11483,Belfield,Computer Science,B004,Sat Nov 14 04:00:00,0,0
11494,Belfield,Computer Science,B004,Sat Nov 14 05:00:00,0,0
11505,Belfield,Computer Science,B004,Sat Nov 14 06:00:00,0,0
11517,Belfield,Computer Science,B004,Sat Nov 14 07:00:00,0,0
11529,Belfield,Computer Science,B004,Sat Nov 14 08:00:00,0,0
11541,Belfield,Computer Science,B004,Sat Nov 14 09:00:00,0,0
11553,Belfield,Computer Science,B004,Sat Nov 14 10:00:00,0,0
11565,Belfield,Computer Science,B004,Sat Nov 14 11:00:00,0,0
11577,Belfield,Computer Science,B004,Sat Nov 14 12:00:00,0,0
11589,Belfield,Computer Science,B004,Sat Nov 14 13:00:00,0,0
11601,Belfield,Computer Science,B004,Sat Nov 14 14:00:00,0,0
11612,Belfield,Computer Science,B004,Sat Nov 14 15:00:00,0,0
11624,Belfield,Computer Science,B004,Sat Nov 14 16:00:00,0,0
11636,Belfield,Computer Science,B004,Sat Nov 14 17:00:00,0,0
11648,Belfield,Computer Science,B004,Sat Nov 14 18:00:00,0,0
11660,Belfield,Computer Science,B004,Sat Nov 14 19:00:00,0,0
11672,Belfield,Computer Science,B004,Sat Nov 14 20:00:00,0,0
11684,Belfield,Computer Science,B004,Sat Nov 14 21:00:00,0,0
11696,Belfield,Computer Science,B004,Sat Nov 14 22:00:00,0,0
11697,Belfield,Computer Science,B004,Sat Nov 14 22:00:00,0,0
11708,Belfield,Computer Science,B004,Sat Nov 14 23:00:00,0,0
11720,Belfield,Computer Science,B004,Sun Nov 15 00:00:00,0,0
11732,Belfield,Computer Science,B004,Sun Nov 15 01:00:00,0,0
11743,Belfield,Computer Science,B004,Sun Nov 15 02:00:00,0,0
11755,Belfield,Computer Science,B004,Sun Nov 15 03:00:00,0,0
11767,Belfield,Computer Science,B004,Sun Nov 15 04:00:00,0,0
11779,Belfield,Computer Science,B004,Sun Nov 15 05:00:00,0,0
11791,Belfield,Computer Science,B004,Sun Nov 15 06:00:00,0,0
11803,Belfield,Computer Science,B004,Sun Nov 15 07:00:00,0,0
11815,Belfield,Computer Science,B004,Sun Nov 15 08:00:00,0,0
11827,Belfield,Computer Science,B004,Sun Nov 15 09:00:00,0,0
11839,Belfield,Computer Science,B004,Sun Nov 15 10:00:00,0,0
11851,Belfield,Computer Science,B004,Sun Nov 15 11:00:00,0,0
11863,Belfield,Computer Science,B004,Sun Nov 15 12:00:00,0,0
11875,Belfield,Computer Science,B004,Sun Nov 15 13:00:00,0,0
11887,Belfield,Computer Science,B004,Sun Nov 15 14:00:00,0,0
11899,Belfield,Computer Science,B004,Sun Nov 15 15:00:00,0,0
11911,Belfield,Computer Science,B004,Sun Nov 15 16:00:00,0,0
11922,Belfield,Computer Science,B004,Sun Nov 15 17:00:00,0,0
11934,Belfield,Computer Science,B004,Sun Nov 15 18:00:00,0,0
11946,Belfield,Computer Science,B004,Sun Nov 15 19:00:00,0,0
11958,Belfield,Computer Science,B004,Sun Nov 15 20:00:00,0,0
11970,Belfield,Computer Science,B004,Sun Nov 15 21:00:00,0,0
11982,Belfield,Computer Science,B004,Sun Nov 15 22:00:00,0,0
11994,Belfield,Computer Science,B004,Sun Nov 15 23:00:00,0,0
12005,Belfield,Computer Science,B004,Mon Nov 16 00:00:00,0,0
12017,Belfield,Computer Science,B004,Mon Nov 16 01:00:00,0,0
12029,Belfield,Computer Science,B004,Mon Nov 16 02:00:00,0,0
12041,Belfield,Computer Science,B004,Mon Nov 16 03:00:00,0,0
12053,Belfield,Computer Science,B004,Mon Nov 16 04:00:00,0,0
12065,Belfield,Computer Science,B004,Mon Nov 16 05:00:00,0,0
12077,Belfield,Computer Science,B004,Mon Nov 16 06:00:00,0,0
12089,Belfield,Computer Science,B004,Mon Nov 16 07:00:00,0,0
12101,Belfield,Computer Science,B004,Mon Nov 16 08:00:00,3,3
12112,Belfield,Computer Science,B004,Mon Nov 16 09:00:00,18,18
12124,Belfield,Computer Science,B004,Mon Nov 16 10:00:00,1,1
12135,Belfield,Computer Science,B004,Mon Nov 16 11:00:00,4,4
12147,Belfield,Computer Science,B004,Mon Nov 16 12:00:00,60,60
12158,Belfield,Computer Science,B004,Mon Nov 16 13:00:00,9,9
12169,Belfield,Computer Science,B004,Mon Nov 16 14:00:00,63,63
12181,Belfield,Computer Science,B004,Mon Nov 16 15:00:00,58,57
12193,Belfield,Computer Science,B004,Mon Nov 16 16:00:00,3,3
12205,Belfield,Computer Science,B004,Mon Nov 16 17:00:00,5,5
12217,Belfield,Computer Science,B004,Mon Nov 16 18:00:00,5,5
12229,Belfield,Computer Science,B004,Mon Nov 16 19:00:00,0,0
12240,Belfield,Computer Science,B004,Mon Nov 16 20:00:00,0,0
12252,Belfield,Computer Science,B004,Mon Nov 16 21:00:00,0,0
12264,Belfield,Computer Science,B004,Mon Nov 16 22:00:00,0,0
12276,Belfield,Computer Science,B004,Mon Nov 16 23:00:00,0,0
12287,Belfield,Computer Science,B004,Tue Nov 17 00:00:00,0,0
12298,Belfield,Computer Science,B004,Tue Nov 17 01:00:00,0,0
12309,Belfield,Computer Science,B004,Tue Nov 17 02:00:00,0,0
12321,Belfield,Computer Science,B004,Tue Nov 17 03:00:00,0,0
12333,Belfield,Computer Science,B004,Tue Nov 17 04:00:00,0,0
12345,Belfield,Computer Science,B004,Tue Nov 17 05:00:00,0,0
12357,Belfield,Computer Science,B004,Tue Nov 17 06:00:00,0,0
12369,Belfield,Computer Science,B004,Tue Nov 17 07:00:00,0,0
12381,Belfield,Computer Science,B004,Tue Nov 17 08:00:00,0,0
12392,Belfield,Computer Science,B004,Tue Nov 17 09:00:00,69,69
12404,Belfield,Computer Science,B004,Tue Nov 17 10:00:00,91,91
12414,Belfield,Computer Science,B004,Tue Nov 17 11:00:00,39,39
