time,room,module,size
Mon Nov 02 09:00:00,B0.02,COMP30190,29
Mon Nov 02 10:00:00,B0.02,COMP40660,53
Mon Nov 02 11:00:00,B0.02,None,None
Mon Nov 02 12:00:00,B0.02,COMP30250,22
Mon Nov 02 13:00:00,B0.02,COMP41690,60
Mon Nov 02 14:00:00,B0.02,COMP30260,18
Mon Nov 02 15:00:00,B0.02,None,None
Mon Nov 02 16:00:00,B0.02,COMP40660,53
Mon Nov 02 17:00:00,B0.02,COMP40660,53
Tue Nov 03 09:00:00,B0.02,None,None
Tue Nov 03 10:00:00,B0.02,COMP30110,45
Tue Nov 03 11:00:00,B0.02,COMP30260,18
Tue Nov 03 12:00:00,B0.02,COMP40370,27
Tue Nov 03 13:00:00,B0.02,None,None
Tue Nov 03 14:00:00,B0.02,COMP30240,42
Tue Nov 03 15:00:00,B0.02,COMP30240,42
Tue Nov 03 16:00:00,B0.02,COMP40370,27
Tue Nov 03 17:00:00,B0.02,COMP40370,27
Wed Nov 04 09:00:00,B0.02,COMP30190,29
Wed Nov 04 10:00:00,B0.02,COMP40660,53
Wed Nov 04 11:00:00,B0.02,COMP30250,22
Wed Nov 04 12:00:00,B0.02,COMP41690 (Practical),60
Wed Nov 04 13:00:00,B0.02,COMP41690 (Lecture),60
Wed Nov 04 14:00:00,B0.02,COMP30220,38
Wed Nov 04 15:00:00,B0.02,COMP30520 & COMP41110,79
Wed Nov 04 16:00:00,B0.02,COMP30250,22
Wed Nov 04 17:00:00,B0.02,COMP30250,22
Thu Nov 05 09:00:00,B0.02,None,None
Thu Nov 05 10:00:00,B0.02,COMP30110,45
Thu Nov 05 11:00:00,B0.02,COMP40370,27
Thu Nov 05 12:00:00,B0.02,COMP30260,18
Thu Nov 05 13:00:00,B0.02,COMP47290,0
Thu Nov 05 14:00:00,B0.02,COMP30240,42
Thu Nov 05 15:00:00,B0.02,COMP30520,60
Thu Nov 05 16:00:00,B0.02,COMP30520,60
Thu Nov 05 17:00:00,B0.02,None,None
Fri Nov 06 09:00:00,B0.02,COMP30220,38
Fri Nov 06 10:00:00,B0.02,None,None
Fri Nov 06 11:00:00,B0.02,COMP30190,29
Fri Nov 06 12:00:00,B0.02,COMP30190,29
Fri Nov 06 13:00:00,B0.02,COMP30170,51
Fri Nov 06 14:00:00,B0.02,COMP30240,42
Fri Nov 06 15:00:00,B0.02,None,None
Fri Nov 06 16:00:00,B0.02,None,None
Fri Nov 06 17:00:00,B0.02,None,None
Mon Nov 09 09:00:00,B0.02,COMP30190,29
Mon Nov 09 10:00:00,B0.02,COMP40660,53
Mon Nov 09 11:00:00,B0.02,None,None
Mon Nov 09 12:00:00,B0.02,COMP30250,22
Mon Nov 09 13:00:00,B0.02,COMP41690,60
Mon Nov 09 14:00:00,B0.02,COMP30260,18
Mon Nov 09 15:00:00,B0.02,None,None
Mon Nov 09 16:00:00,B0.02,COMP40660,53
Mon Nov 09 17:00:00,B0.02,COMP40660,53
Tue Nov 10 09:00:00,B0.02,None,None
Tue Nov 10 10:00:00,B0.02,COMP30110,45
Tue Nov 10 11:00:00,B0.02,COMP30260,18
Tue Nov 10 12:00:00,B0.02,COMP40370,27
Tue Nov 10 13:00:00,B0.02,None,None
Tue Nov 10 14:00:00,B0.02,COMP30240,42
Tue Nov 10 15:00:00,B0.02,COMP30240,42
Tue Nov 10 16:00:00,B0.02,COMP40370,27
Tue Nov 10 17:00:00,B0.02,COMP40370,27
Wed Nov 11 09:00:00,B0.02,COMP30190,29
Wed Nov 11 10:00:00,B0.02,COMP40660,53
Wed Nov 11 11:00:00,B0.02,COMP30250,22
Wed Nov 11 12:00:00,B0.02,COMP41690 (Practical),60
Wed Nov 11 13:00:00,B0.02,COMP41690 (Lecture),60
Wed Nov 11 14:00:00,B0.02,COMP30220,38
Wed Nov 11 15:00:00,B0.02,COMP30520 & COMP41110,79
Wed Nov 11 16:00:00,B0.02,COMP30250,22
Wed Nov 11 17:00:00,B0.02,COMP30250,22
Thu Nov 12 09:00:00,B0.02,None,None
Thu Nov 12 10:00:00,B0.02,COMP30110,45
Thu Nov 12 11:00:00,B0.02,COMP40370,27
Thu Nov 12 12:00:00,B0.02,COMP30260,18
Thu Nov 12 13:00:00,B0.02,COMP47290,0
Thu Nov 12 14:00:00,B0.02,COMP30240,42
Thu Nov 12 15:00:00,B0.02,COMP30520,60
Thu Nov 12 16:00:00,B0.02,COMP30520,60
Thu Nov 12 17:00:00,B0.02,None,None
Fri Nov 13 09:00:00,B0.02,COMP30220,38
Fri Nov 13 10:00:00,B0.02,None,None
Fri Nov 13 11:00:00,B0.02,COMP30190,29
Fri Nov 13 12:00:00,B0.02,COMP30190,29
Fri Nov 13 13:00:00,B0.02,COMP30170,51
Fri Nov 13 14:00:00,B0.02,COMP30240,42
Fri Nov 13 15:00:00,B0.02,None,None
Fri Nov 13 16:00:00,B0.02,None,None
Fri Nov 13 17:00:00,B0.02,None,None
Mon Nov 02 09:00:00,B0.03,COMP20020,53
Mon Nov 02 10:00:00,B0.03,COMP20020,53
Mon Nov 02 11:00:00,B0.03,COMP30010,45
Mon Nov 02 12:00:00,B0.03,COMP30010,45
Mon Nov 02 13:00:00,B0.03,None,None
Mon Nov 02 14:00:00,B0.03,COMP30010,33
Mon Nov 02 15:00:00,B0.03,COMP30010,33
Mon Nov 02 16:00:00,B0.03,COMP30060,35
Mon Nov 02 17:00:00,B0.03,COMP30060,35
Tue Nov 03 09:00:00,B0.03,None,None
Tue Nov 03 10:00:00,B0.03,None,None
Tue Nov 03 11:00:00,B0.03,COMP10280,56
Tue Nov 03 12:00:00,B0.03,None,None
Tue Nov 03 13:00:00,B0.03,Career opportunities talks,N/A
Tue Nov 03 14:00:00,B0.03,None,None
Tue Nov 03 15:00:00,B0.03,None,None
Tue Nov 03 16:00:00,B0.03,None,None
Tue Nov 03 17:00:00,B0.03,None,None
Wed Nov 04 09:00:00,B0.03,COMP47300 (Lecture),0
Wed Nov 04 10:00:00,B0.03,COMP47300 (Practical),0
Wed Nov 04 11:00:00,B0.03,COMP47300 (Practical),0
Wed Nov 04 12:00:00,B0.03,COMP30080,73
Wed Nov 04 13:00:00,B0.03,COMP30080,73
Wed Nov 04 14:00:00,B0.03,COMP47300,0
Wed Nov 04 15:00:00,B0.03,COMP47300,0
Wed Nov 04 16:00:00,B0.03,None,None
Wed Nov 04 17:00:00,B0.03,None,None
Thu Nov 05 09:00:00,B0.03,COMP30060,42
Thu Nov 05 10:00:00,B0.03,None,None
Thu Nov 05 11:00:00,B0.03,None,None
Thu Nov 05 12:00:00,B0.03,COMP10280,56
Thu Nov 05 13:00:00,B0.03,Career opportunities talks,N/A
Thu Nov 05 14:00:00,B0.03,COMP47300,0
Thu Nov 05 15:00:00,B0.03,COMP47290,0
Thu Nov 05 16:00:00,B0.03,COMP47290,0
Thu Nov 05 17:00:00,B0.03,COMP47290,0
Fri Nov 06 09:00:00,B0.03,COMP20020,45
Fri Nov 06 10:00:00,B0.03,COMP20020,45
Fri Nov 06 11:00:00,B0.03,COMP47290,0
Fri Nov 06 12:00:00,B0.03,COMP47290,0
Fri Nov 06 13:00:00,B0.03,None,None
Fri Nov 06 14:00:00,B0.03,COMP30080,65
Fri Nov 06 15:00:00,B0.03,COMP30080,65
Fri Nov 06 16:00:00,B0.03,None,None
Fri Nov 06 17:00:00,B0.03,None,None
Mon Nov 09 09:00:00,B0.03,COMP20020,53
Mon Nov 09 10:00:00,B0.03,COMP20020,53
Mon Nov 09 11:00:00,B0.03,COMP30010,45
Mon Nov 09 12:00:00,B0.03,COMP30010,45
Mon Nov 09 13:00:00,B0.03,None,None
Mon Nov 09 14:00:00,B0.03,COMP30010,33
Mon Nov 09 15:00:00,B0.03,COMP30010,33
Mon Nov 09 16:00:00,B0.03,COMP30060,35
Mon Nov 09 17:00:00,B0.03,COMP30060,35
Tue Nov 10 09:00:00,B0.03,None,None
Tue Nov 10 10:00:00,B0.03,None,None
Tue Nov 10 11:00:00,B0.03,COMP10280,56
Tue Nov 10 12:00:00,B0.03,None,None
Tue Nov 10 13:00:00,B0.03,Career opportunities talks,N/A
Tue Nov 10 14:00:00,B0.03,None,None
Tue Nov 10 15:00:00,B0.03,None,None
Tue Nov 10 16:00:00,B0.03,None,None
Tue Nov 10 17:00:00,B0.03,None,None
Wed Nov 11 09:00:00,B0.03,COMP47300 (Lecture),0
Wed Nov 11 10:00:00,B0.03,COMP47300 (Practical),0
Wed Nov 11 11:00:00,B0.03,COMP47300 (Practical),0
Wed Nov 11 12:00:00,B0.03,COMP30080,73
Wed Nov 11 13:00:00,B0.03,COMP30080,73
Wed Nov 11 14:00:00,B0.03,COMP47300,0
Wed Nov 11 15:00:00,B0.03,COMP47300,0
Wed Nov 11 16:00:00,B0.03,None,None
Wed Nov 11 17:00:00,B0.03,None,None
Thu Nov 12 09:00:00,B0.03,COMP30060,42
Thu Nov 12 10:00:00,B0.03,None,None
Thu Nov 12 11:00:00,B0.03,None,None
Thu Nov 12 12:00:00,B0.03,COMP10280,56
Thu Nov 12 13:00:00,B0.03,Career opportunities talks,N/A
Thu Nov 12 14:00:00,B0.03,COMP47300,0
Thu Nov 12 15:00:00,B0.03,COMP47290,0
Thu Nov 12 16:00:00,B0.03,COMP47290,0
Thu Nov 12 17:00:00,B0.03,COMP47290,0
Fri Nov 13 09:00:00,B0.03,COMP20020,45
Fri Nov 13 10:00:00,B0.03,COMP20020,45
Fri Nov 13 11:00:00,B0.03,COMP47290,0
Fri Nov 13 12:00:00,B0.03,COMP47290,0
Fri Nov 13 13:00:00,B0.03,None,None
Fri Nov 13 14:00:00,B0.03,COMP30080,65
Fri Nov 13 15:00:00,B0.03,COMP30080,65
Fri Nov 13 16:00:00,B0.03,None,None
Fri Nov 13 17:00:00,B0.03,None,None
Mon Nov 02 09:00:00,B0.04,COMP30010,79
Mon Nov 02 10:00:00,B0.04,IS40640,49
Mon Nov 02 11:00:00,B0.04,IS40640,49
Mon Nov 02 12:00:00,B0.04,COMP20020,98
Mon Nov 02 13:00:00,B0.04,Booked by School of CS (no other data available),N/A
Mon Nov 02 14:00:00,B0.04,SCI30060,66
Mon Nov 02 15:00:00,B0.04,COMP41110,19
Mon Nov 02 16:00:00,B0.04,None,None
Mon Nov 02 17:00:00,B0.04,None,None
Tue Nov 03 09:00:00,B0.04,COMP41450 & COMP30120,143
Tue Nov 03 10:00:00,B0.04,COMP10130,112
Tue Nov 03 11:00:00,B0.04,COMP20070,107
Tue Nov 03 12:00:00,B0.04,COMP30080,139
Tue Nov 03 13:00:00,B0.04,COMP20110,103
Tue Nov 03 14:00:00,B0.04,STAT40150,0
Tue Nov 03 15:00:00,B0.04,COMP20010,108
Tue Nov 03 16:00:00,B0.04,None,None
Tue Nov 03 17:00:00,B0.04,None,None
Wed Nov 04 09:00:00,B0.04,COMP30010,79
Wed Nov 04 10:00:00,B0.04,None,None
Wed Nov 04 11:00:00,B0.04,COMP20020,98
Wed Nov 04 12:00:00,B0.04,COMP20130,74
Wed Nov 04 13:00:00,B0.04,None,None
Wed Nov 04 14:00:00,B0.04,None,None
Wed Nov 04 15:00:00,B0.04,COMP30070,84
Wed Nov 04 16:00:00,B0.04,None,None
Wed Nov 04 17:00:00,B0.04,None,None
Thu Nov 05 09:00:00,B0.04,COMP41450 & COMP30120,143
Thu Nov 05 10:00:00,B0.04,MATH10130,56
Thu Nov 05 11:00:00,B0.04,COMP30080,139
Thu Nov 05 12:00:00,B0.04,COMP20070,107
Thu Nov 05 13:00:00,B0.04,COMP10110,113
Thu Nov 05 14:00:00,B0.04,ENVB30110,83
Thu Nov 05 15:00:00,B0.04,None,None
Thu Nov 05 16:00:00,B0.04,COMP20010,108
Thu Nov 05 17:00:00,B0.04,None,None
Fri Nov 06 09:00:00,B0.04,None,None
Fri Nov 06 10:00:00,B0.04,MATH10200,96
Fri Nov 06 11:00:00,B0.04,COMP30070,84
Fri Nov 06 12:00:00,B0.04,None,None
Fri Nov 06 13:00:00,B0.04,COMP20110,103
Fri Nov 06 14:00:00,B0.04,COMP10110,113
Fri Nov 06 15:00:00,B0.04,COMP30220,38
Fri Nov 06 16:00:00,B0.04,None,None
Fri Nov 06 17:00:00,B0.04,None,None
Mon Nov 09 09:00:00,B0.04,COMP30010,79
Mon Nov 09 10:00:00,B0.04,None,None
Mon Nov 09 11:00:00,B0.04,None,None
Mon Nov 09 12:00:00,B0.04,COMP20020,98
Mon Nov 09 13:00:00,B0.04,None,None
Mon Nov 09 14:00:00,B0.04,SCI30060,66
Mon Nov 09 15:00:00,B0.04,COMP41110,19
Mon Nov 09 16:00:00,B0.04,None,None
Mon Nov 09 17:00:00,B0.04,None,None
Tue Nov 10 09:00:00,B0.04,COMP41450 & COMP30120,143
Tue Nov 10 10:00:00,B0.04,COMP10130,112
Tue Nov 10 11:00:00,B0.04,COMP20070,107
Tue Nov 10 12:00:00,B0.04,COMP30080,139
Tue Nov 10 13:00:00,B0.04,COMP20110,103
Tue Nov 10 14:00:00,B0.04,STAT40150,0
Tue Nov 10 15:00:00,B0.04,COMP20010,108
Tue Nov 10 16:00:00,B0.04,None,None
Tue Nov 10 17:00:00,B0.04,None,None
Wed Nov 11 09:00:00,B0.04,COMP30010,79
Wed Nov 11 10:00:00,B0.04,None,None
Wed Nov 11 11:00:00,B0.04,COMP20020,98
Wed Nov 11 12:00:00,B0.04,COMP20130,74
Wed Nov 11 13:00:00,B0.04,None,None
Wed Nov 11 14:00:00,B0.04,None,None
Wed Nov 11 15:00:00,B0.04,COMP30070,84
Wed Nov 11 16:00:00,B0.04,None,None
Wed Nov 11 17:00:00,B0.04,None,None
Thu Nov 12 09:00:00,B0.04,COMP41450 & COMP30120,143
Thu Nov 12 10:00:00,B0.04,MATH10130,56
Thu Nov 12 11:00:00,B0.04,COMP30080,139
Thu Nov 12 12:00:00,B0.04,COMP20070,107
Thu Nov 12 13:00:00,B0.04,COMP10110,113
Thu Nov 12 14:00:00,B0.04,ENVB30110,83
Thu Nov 12 15:00:00,B0.04,None,None
Thu Nov 12 16:00:00,B0.04,COMP20010,108
Thu Nov 12 17:00:00,B0.04,None,None
Fri Nov 13 09:00:00,B0.04,None,None
Fri Nov 13 10:00:00,B0.04,MATH10200,96
Fri Nov 13 11:00:00,B0.04,COMP30070,84
Fri Nov 13 12:00:00,B0.04,None,None
Fri Nov 13 13:00:00,B0.04,COMP20110,103
Fri Nov 13 14:00:00,B0.04,COMP10110,113
Fri Nov 13 15:00:00,B0.04,COMP30220,38
Fri Nov 13 16:00:00,B0.04,None,None
Fri Nov 13 17:00:00,B0.04,None,None
Fri Nov 21 21:00,A0.04,None,None