Date,time,hour,min,Nb_People
7/27/16,11:50,11,50,6
7/27/16,11:52,11,52,6
7/27/16,11:54,11,54,4
7/27/16,11:56,11,56,4
7/27/16,11:58,11,58,6
7/27/16,12:00,12,0,12
7/27/16,12:02,12,2,10
7/27/16,12:04,12,4,19
7/27/16,12:06,12,6,24
7/27/16,12:08,12,8,26
7/27/16,12:10,12,10,25
7/27/16,12:12,12,12,25
7/27/16,12:14,12,14,25
7/27/16,12:16,12,16,25
7/27/16,12:18,12,18,25
7/27/16,12:20,12,20,25
7/27/16,12:22,12,22,25
7/27/16,12:24,12,24,25
7/27/16,12:26,12,26,25
7/27/16,12:28,12,28,25
7/27/16,12:30,12,30,25
7/27/16,12:32,12,32,25
7/27/16,12:34,12,34,26
7/27/16,12:36,12,36,26
7/27/16,12:38,12,38,26
7/27/16,12:40,12,40,26
7/27/16,12:42,12,42,26
7/27/16,12:44,12,44,26
7/27/16,12:46,12,46,26
7/27/16,12:48,12,48,26
7/27/16,12:50,12,50,26
7/27/16,12:52,12,52,26
7/27/16,12:54,12,54,26
7/27/16,12:56,12,56,26
7/27/16,12:58,12,58,26
7/27/16,13:00,13,0,26
7/27/16,13:02,13,2,26
7/27/16,13:04,13,4,25
7/27/16,13:06,13,6,25
7/27/16,13:08,13,8,25
7/27/16,13:10,13,10,25
7/27/16,13:12,13,12,25
7/27/16,13:14,13,14,25
7/27/16,13:16,13,16,25
7/27/16,13:18,13,18,25
7/27/16,13:20,13,20,25
7/27/16,13:22,13,22,25