date,month,year,time,rssi
27,07,2016,11:56:13,71
27,07,2016,11:56:43,71
27,07,2016,11:57:13,72
27,07,2016,11:57:43,72
27,07,2016,11:58:13,72
27,07,2016,11:58:43,72
27,07,2016,11:59:13,74
27,07,2016,11:59:43,74
27,07,2016,12:00:13,62
27,07,2016,12:00:43,60
27,07,2016,12:01:13,59
27,07,2016,12:01:43,59
27,07,2016,12:02:13,59
27,07,2016,12:02:43,58
27,07,2016,12:03:13,59
27,07,2016,12:03:43,59
27,07,2016,12:04:13,61
27,07,2016,12:04:43,61
27,07,2016,12:05:13,60
27,07,2016,12:05:43,60
27,07,2016,12:06:13,61
27,07,2016,12:06:43,60
27,07,2016,12:07:13,60
27,07,2016,12:07:43,61
27,07,2016,12:08:13,61
27,07,2016,12:08:43,61
27,07,2016,12:09:13,60
27,07,2016,12:09:43,59
27,07,2016,12:10:13,59
27,07,2016,12:10:43,59
27,07,2016,12:11:13,59
27,07,2016,12:11:43,59
27,07,2016,12:12:13,59
27,07,2016,12:12:43,59
27,07,2016,12:13:13,59
27,07,2016,12:13:43,58
27,07,2016,12:14:13,59
27,07,2016,12:14:43,58
27,07,2016,12:15:13,58
27,07,2016,12:15:43,59
27,07,2016,12:16:14,61
27,07,2016,12:16:44,58
27,07,2016,12:17:14,60
27,07,2016,12:17:44,60
27,07,2016,12:18:14,60
27,07,2016,12:18:44,60
27,07,2016,12:19:14,60
27,07,2016,12:19:44,59
27,07,2016,12:20:14,59
27,07,2016,12:20:44,60
27,07,2016,12:21:14,59
27,07,2016,12:21:44,60
27,07,2016,12:22:14,59
27,07,2016,12:22:44,58
27,07,2016,12:23:14,58
27,07,2016,12:23:44,59
27,07,2016,12:24:14,59
27,07,2016,12:24:44,59
27,07,2016,12:25:14,59
27,07,2016,12:25:44,59
27,07,2016,12:26:14,60
27,07,2016,12:26:44,60
27,07,2016,12:27:14,60
27,07,2016,12:27:44,60
27,07,2016,12:28:14,61
27,07,2016,12:28:44,59
27,07,2016,12:29:14,60
27,07,2016,12:29:44,59
27,07,2016,12:30:14,59
27,07,2016,12:30:44,59
27,07,2016,12:31:14,59
27,07,2016,12:31:44,58
27,07,2016,12:32:14,59
27,07,2016,12:32:44,59
27,07,2016,12:33:14,58
27,07,2016,12:33:44,59
27,07,2016,12:34:14,60
27,07,2016,12:34:44,59
27,07,2016,12:35:14,60
27,07,2016,12:35:44,59
27,07,2016,12:36:14,59
27,07,2016,12:36:44,61
27,07,2016,12:37:15,60
27,07,2016,12:37:45,59
27,07,2016,12:38:15,59
27,07,2016,12:38:45,59
27,07,2016,12:39:15,59
27,07,2016,12:39:45,59
27,07,2016,12:40:15,58
27,07,2016,12:40:45,58
27,07,2016,12:41:15,59
27,07,2016,12:41:45,58
27,07,2016,12:42:15,59
27,07,2016,12:42:45,59
27,07,2016,12:43:15,59
27,07,2016,12:43:45,59
27,07,2016,12:44:15,59
27,07,2016,12:44:45,60
27,07,2016,12:45:15,58
27,07,2016,12:45:45,59
27,07,2016,12:46:15,59
27,07,2016,12:46:45,59
27,07,2016,12:47:15,59
27,07,2016,12:47:45,59
27,07,2016,12:48:15,57
27,07,2016,12:48:45,58
27,07,2016,12:49:15,58
27,07,2016,12:49:45,58
27,07,2016,12:50:15,58
27,07,2016,12:50:45,59
27,07,2016,12:51:15,59
27,07,2016,12:51:45,59
27,07,2016,12:52:15,60
27,07,2016,12:52:45,59
27,07,2016,12:53:15,57
27,07,2016,12:53:45,58
27,07,2016,12:54:15,58
27,07,2016,12:54:45,58
27,07,2016,12:55:15,58
27,07,2016,12:55:45,59
27,07,2016,12:56:15,58
27,07,2016,12:56:45,59
27,07,2016,12:57:15,59
27,07,2016,12:57:45,59
27,07,2016,12:58:15,60
27,07,2016,12:58:45,59
27,07,2016,12:59:15,58
27,07,2016,12:59:45,58
27,07,2016,13:00:15,58
27,07,2016,13:00:45,59
27,07,2016,13:01:15,60
27,07,2016,13:01:45,59
27,07,2016,13:02:15,60
27,07,2016,13:02:46,60
27,07,2016,13:03:16,59
27,07,2016,13:03:46,59
27,07,2016,13:04:16,59
27,07,2016,13:04:46,60
27,07,2016,13:05:16,59
27,07,2016,13:05:46,58
27,07,2016,13:06:16,58
27,07,2016,13:06:46,59
27,07,2016,13:07:16,58
27,07,2016,13:07:46,59
27,07,2016,13:08:16,58
27,07,2016,13:08:46,58
27,07,2016,13:09:16,59
27,07,2016,13:09:46,59
27,07,2016,13:10:16,59
27,07,2016,13:10:46,58
27,07,2016,13:11:16,59
27,07,2016,13:11:46,59
27,07,2016,13:12:16,57
27,07,2016,13:12:46,60
27,07,2016,13:13:16,57
27,07,2016,13:13:46,57
27,07,2016,13:14:16,57
27,07,2016,13:14:46,57
27,07,2016,13:15:16,57
27,07,2016,13:15:46,58
27,07,2016,13:16:16,58
27,07,2016,13:16:46,58
27,07,2016,13:17:16,57
27,07,2016,13:17:46,56
27,07,2016,13:18:16,58
27,07,2016,13:18:46,58
27,07,2016,13:19:16,58
27,07,2016,13:19:46,58
27,07,2016,13:20:16,59
27,07,2016,13:20:46,58
27,07,2016,13:21:16,58
27,07,2016,13:21:46,60